piece,piece_url,Work Title,Composer,Opus/Catalogue NumberOp./Cat. No.,Key,Movements/SectionsMov'ts/Sec's,Year/Date of CompositionY/D of Comp.,Composer Time PeriodComp. Period,Piece Style,Instrumentation,Average DurationAvg. Duration
"Sarabande in G minor, BWV 839 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sarabande_in_G_minor%2C_BWV_839_(Bach%2C_Johann_Sebastian),Sarabande in G minor,"Bach, Johann Sebastian",BWV 839 ; BWV App B 81 ; BWV 839 / Anh.II 80 ‑>,G minor,1 sarabande,1735?,Baroque,Baroque,keyboard,2 minutes
"Schafe können sicher weiden (Bach, Johann Sebastian)",https://imslp.org/wiki/Schafe_k%C3%B6nnen_sicher_weiden_(Bach%2C_Johann_Sebastian),"Was mir behagt, ist nur die muntre Jagd","Bach, Johann Sebastian","BWV 208 ; BC G 1, 3, 27 ; (BWV 208a)",F major,"15 movements:Recitative (Diana): Was mir behagt, ist nur die muntre Jagd!Aria (Diana): Jagen ist die Lust der GötterRecitative (Endymion): Wie, schönste Göttin? wie?Aria (Endymion): Willst du dich nicht mehr ergetzenRecitative (Diana): Ich liebe dich zwar noch!Recitative (Pan): Ich, der ich sonst ein GottAria (Pan): Ein Fürst ist seines Landes PanRecitative (Pales): Soll dann der Pales Opfer hier das letzte sein?Aria (Pales): Schafe können sicher weiden (Sheep may safely graze)Recitative (Diana): So stimmt mit einChorus: Lebe, Sonne dieser ErdenAria (Diana, Endymion): Entzucket uns beide, ihr Strahlen der FreudeAria (Pales, Endymion): Weil die wollenreichen HeerdenAria (Pan): Ihr Felder und AuenChorus: Ihr lieblichste Blicke, ihr freudige Stunden",1713 in Weimar,Baroque,Baroque,"VoicesDiana (soprano)Pales (soprano)Endymion (tenor)Pan (bass)Mixed Chorus(SSTB)Orchestra2 recorders, 2 oboes, taille, bassoon2-3 horns, strings, continuo (also violone grosso)",30 minutes
"Schaff's mit mir, Gott, nach deinem Willen, BWV 514 (Bach, Johann Sebastian)",https://imslp.org/wiki/Schaff's_mit_mir%2C_Gott%2C_nach_deinem_Willen%2C_BWV_514_(Bach%2C_Johann_Sebastian),"Schaff's mit mir, Gott, nach deinem Willen","Bach, Johann Sebastian",BWV 514 ; BC F 216,,1 song,1725–36,Baroque,Baroque,"voice, continuo",
"Schau, lieber Gott, wie meine Feind, BWV 153 (Bach, Johann Sebastian)",https://imslp.org/wiki/Schau%2C_lieber_Gott%2C_wie_meine_Feind%2C_BWV_153_(Bach%2C_Johann_Sebastian),"Schau, lieber Gott, wie meine Feind","Bach, Johann Sebastian",BWV 153 ; BC A 25,A minor,"9 movements:Chorus: Schau, lieber Gott, wie meine FeindRecitative (alto): Mein liebster Gott, ach laß dichs doch erbarmenArioso (bass): Fürchte dich nichtRecitative (tenor): Du sprichst zwar, lieber GottChorale: Und ob gleich alle TeufelAria (tenor): Stürmt nur, stürmt, ihr TrübsalswetterRecitative (bass): Getrost! Mein HerzAria (alto): Soll ich meinen LebenslaufChorale: Drum will ich, weil ich lebe noch",1724 in Leipzig,Baroque,Baroque,"strings, continuo (harpsichord)",
"Schauet doch und sehet, BWV 46 (Bach, Johann Sebastian)",https://imslp.org/wiki/Schauet_doch_und_sehet%2C_BWV_46_(Bach%2C_Johann_Sebastian),Schauet doch und sehet,"Bach, Johann Sebastian",BWV 46 ; BC A 117,D minor,"6 movements:Chorus: Schauet doch und sehet, ob irgend ein Schmerz sei (D minor)Recitativo (tenor): So klage du, zerstörte Gottesstadt (G minor)Aria (bass): Dein Wetter zog sich auf von weiten (B♭major)Recitativo (alto): Doch bildet euch, o Sünder, ja nicht ein (F major-C minor)Aria (alto): Doch Jesus will auch bei der Strafe (G minor)Choral: O großer Gott von Treu (G minor)",1723 in Leipzig,Baroque,Baroque,"2 flutes, 2 oboes da caccia, corno da tirarsi, strings, continuo",20 minutes
"Schaut, ihr Sünder, BWV 408 (Bach, Johann Sebastian)",https://imslp.org/wiki/Schaut%2C_ihr_S%C3%BCnder%2C_BWV_408_(Bach%2C_Johann_Sebastian),"Schaut, ihr Sünder","Bach, Johann Sebastian",BWV 408 ; BC F 94.1b,,1 chorale,1725 or before,Baroque,Baroque,mixed chorus (SATB),
"Scherzo in D minor, BWV 844 (Bach, Johann Sebastian)",https://imslp.org/wiki/Scherzo_in_D_minor%2C_BWV_844_(Bach%2C_Johann_Sebastian),Scherzo,"Bach, Wilhelm Friedemann","(BWV 844) ; (BR‑WFB A 55) ; (BWV App C, S.708)",D minor,1 scherzo,,Baroque,Baroque,keyboard,
"Scherzo in E minor, BWV 844a (Bach, Johann Sebastian)",https://imslp.org/wiki/Scherzo_in_E_minor%2C_BWV_844a_(Bach%2C_Johann_Sebastian),Scherzo,"Bach, Wilhelm Friedemann","(BWV 844a) ; (BR‑WFB A 55) ; (BWV App C, S.708) ; (BWV 844a / Anh.II 80 ‑>)",E minor,1 scherzo,,Baroque,Baroque,keyboard,
"Schlage doch, gewünschte Stunde, BWV 53 (Bach, Johann Sebastian)",https://imslp.org/wiki/Schlage_doch%2C_gew%C3%BCnschte_Stunde%2C_BWV_53_(Bach%2C_Johann_Sebastian),"Schlage doch, gewünschte Stunde","Hoffmann, Melchior",(BWV 53) ; BC V 99 ; BC Anh.II 23,E major,"1 (Aria (alto): Schlage doch, gewünschte Stunde)",1730 ca. in Leipzig byGeorg Melchior Hoffmann? (1684-1715),Baroque,Baroque,"alto, bells, strings, continuo (organ)",7 minutes
"Schleicht, spielende Wellen, BWV 206 (Bach, Johann Sebastian)",https://imslp.org/wiki/Schleicht%2C_spielende_Wellen%2C_BWV_206_(Bach%2C_Johann_Sebastian),"Schleicht, spielende Wellen","Bach, Johann Sebastian","BWV 206 ; BC G 23, 26",D major,"11 movements:Chorus: Schleicht, spielende WellenRecitative (bass): O glückliche Veränderung!Aria (bass): Schleuss des Janustempels TürenRecitative and Arioso (tenor): So recht! beglückter Weichselstrom!Aria (tenor): Jede Woge meiner Wellen ruftRecitative (alto): Ich nehm' zugleich an deiner Freude teilAria (alto): Reis, von Habsburgs hohem StammeRecitative (soprano): Verzeiht, bemooste Häupter starker StrömeAria (soprano: Hört doch! der sanften Flöten ChorRecitative (SATB): Ich muss, ich will gehorsam seinChorus: Die himmlische Vorsicht der ewigen Güte",1734 or 1736,Baroque,Baroque,"VoicesPleiße (soprano)Donau (alto)Elbe (tenor)Weichsel (bass)Mixed Chorus(SATB)Orchestra3 flutes, 2 oboes, 2 oboes d’amore, 3 trumpetstimpani, 2 violins, viola, continuo (cellos/basses, harpsichord and/or organ)",40 minutes
"Schließt die Gruft! ihr Trauerglocken, BWV Anh.16 (Bach, Johann Sebastian)",https://imslp.org/wiki/Schlie%C3%9Ft_die_Gruft!_ihr_Trauerglocken%2C_BWV_Anh.16_(Bach%2C_Johann_Sebastian),Schließt die Gruft! ihr Trauerglocken,"Bach, Johann Sebastian",BWV Anh.16,,,1735,Baroque,Baroque,,
